TeamID;ShortText;Promotion;InitialELO;League;Region;Name
9347;VFBO;0;1079.61330383242;84;Nord;VfB Oldenburg
9341;H962;-50;1059.77205695211;84;Nord;Hannover 96 II
12831;PHL;0;1041.86195149031;84;Nord;Phönix Lübeck
12804;KEM;0;1016.74254930233;84;Nord;Kickers Emden
1655;SSVJ;0;1007.50526050466;84;Nord;SSV Jeddeloh
1630;BSV;0;999.422102062708;84;Nord;Bremer SV
9348;WO2;-50;997.901484260988;84;Nord;Wolfsburg II
1625;VFB;0;989.873701513887;84;Nord;VfB Lübeck
9340;HSV2;-50;975.02463638096;84;Nord;Hamburger SV II
1649;SCW;0;964.101675289223;84;Nord;Weiche Flensburg
1330;SVW2;-50;957.570477800807;84;Nord;Werder Bremen II
9345;SCHB;0;906.440524117203;84;Nord;Schwarz-Weiß Rehden
12742;HIL;0;872.490769951302;84;Nord;Borussia Hildesheim
9344;HO2A;-50;868.448295034136;84;Nord;Holstein Kiel II
12878;TEU;0;857.828718248728;84;Nord;Teutonia Ottensen
9346;STP2;-50;843.705540072895;84;Nord;St. Pauli II
1631;NOR;0;843.02701166718;84;Nord;Eintracht Norderstedt
19475;FCS3;0;837.800865965179;84;Nord;Schöningen
12880;TSVT;0;836.600196132358;84;Nord;Todesfelde
1645;LUN;0;833.153488591515;84;Nord;Luneburger SK Hansa
9339;HSC;0;829.685867278688;84;Nord;HSC Hannover
14629;BWL;0;817.026774604262;84;Nord;BW Lohne
4260;ATL;0;805.098384534728;84;Nord;Atlas Delmenhorst
13947;ETV;0;797.118633812619;84;Nord;Eimsbütteler TV
14500;KIL;0;785.6116468928;84;Nord;Kilia Kiel
4263;OBE;0;777.939755058714;84;Nord;Oberneuland
14787;SPE;0;722.862186588616;84;Nord;Spelle-Venhaus
9338;ALT;0;708.299297856802;84;Nord;Altona 93
9343;HEIA;0;692.962575793588;84;Nord;Heider SV
1325;FCC;0;1189.50786345289;85;Nordost;FC Carl Zeiss Jena
9355;LOKL;0;1183.28241748405;85;Nordost;Lokomotive Leipzig
1316;HFC;0;1146.09543207632;85;Nordost;Hallescher FC
1329;RWE;0;1137.00488760872;85;Nordost;FC Rot-Weiß Erfurt
1315;FSV;0;1114.68067824869;85;Nordost;FSV Zwickau
